fiscal_year,quarter,category,form_number,description,received,approved,denied,pending,source_file,pending_imp,form_id
,1,,"1,007",,9792.0,,,,all_form_pending_predictions.csv,,
,1,,"1,060",,11075.0,,,,all_form_pending_predictions.csv,,
,1,,"1,092,289",,1006566.0,,,,all_form_pending_predictions.csv,,
,1,,"1,301",,9792.0,,,,all_form_pending_predictions.csv,,
,1,,"11,698",,26013.0,,,,all_form_pending_predictions.csv,,
,1,,"119,869",,88413.0,,,,all_form_pending_predictions.csv,,
,1,,"12,655",,26013.0,,,,all_form_pending_predictions.csv,,
,1,,"12,811",,26248.0,,,,all_form_pending_predictions.csv,,
,1,,"142,341",,135015.0,,,,all_form_pending_predictions.csv,,
,1,,"147,547",,88413.0,,,,all_form_pending_predictions.csv,,
,1,,"15,335",,26013.0,,,,all_form_pending_predictions.csv,,
,1,,"155,507",,169739.0,,,,all_form_pending_predictions.csv,,
,1,,"167,569",,168648.0,,,,all_form_pending_predictions.csv,,
,1,,"179,298",,159206.0,,,,all_form_pending_predictions.csv,,
,1,,"18,555",,28360.0,,,,all_form_pending_predictions.csv,,
,1,,"19,439",,26248.0,,,,all_form_pending_predictions.csv,,
,1,,"2,125",,9792.0,,,,all_form_pending_predictions.csv,,
,1,,"2,410,373",,2002906.0,,,,all_form_pending_predictions.csv,,
,1,,"2,453,261",,1650039.0,,,,all_form_pending_predictions.csv,,
,1,,"2,571",,9792.0,,,,all_form_pending_predictions.csv,,
,1,,"2,591",,11075.0,,,,all_form_pending_predictions.csv,,
,1,,"2,994",,9792.0,,,,all_form_pending_predictions.csv,,
,1,,"20,278",,26013.0,,,,all_form_pending_predictions.csv,,
,1,,"20,650",,26013.0,,,,all_form_pending_predictions.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2016,,1.0,,,,all_predictions_by_year.csv,,
,1,,2016,,2.0,,,,all_predictions_by_year.csv,,
,1,,2016,,3.0,,,,all_predictions_by_year.csv,,
,1,,2016,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
,1,,2017,,3.0,,,,all_predictions_by_year.csv,,
,1,,2017,,4.0,,,,all_predictions_by_year.csv,,
,1,,2017,,1.0,,,,all_predictions_by_year.csv,,
,1,,2017,,2.0,,,,all_predictions_by_year.csv,,
